,0
url,7076
imdb_link,7076
year,7076
title,7075
Directed by,7074
Running time,6934
Starring,6892
Release date,6883
Language,6832
Produced by,6716
Country,6685
Distributed by,6579
Music by,6482
Edited by,6379
Cinematography,6378
Box office,5517
Budget,4764
Written by,4575
Productioncompany ,4529
Screenplay by,2318
Based on,2190
Story by,1002
Productioncompanies ,728
Narrated by,282
Original release,159
Original language(s),158
Producer(s),156
Country of origin,152
Editor(s),146
Distributor,138
Production company(s),131
Original network,125
Genre,110
Executive producer(s),97
Theme music composer,67
Picture format,64
Audio format,61
Production location(s),47
Created by,10
Preceded by,10
Followed by,9
Composer(s),8
Traditional,5
Simplified,4
Hepburn,4
Japanese,4
Mandarin,4
Literally,3
Recorded,2
Voices of,2
Adaptation by,2
McCuneâ€“Reischauer,2
Revised Romanization,2
Hangul,2
Arabic,2
Released,2
Animation by,2
Romanized,2
Producer,2
Label,2
Length,2
Director,2
Russian,1
Yiddish,1
Cantonese,1
Chinese,1
Hebrew,1
Color process,1
Original title,1
Screen story by,1
French,1
Also known as,1
Venue,1
Suggested by,1
Polish,1
